TE_Name;TA_Name;Tour
Mikaca S.;Sara Mikaca;WTA
Milovanova V.;Victoria Milovanova;WTA
Munk Mortensen R.;Rebecca Munk Mortensen;WTA
Nuudi M.;Maileen Nuudi;WTA
Palicová B.;Barbora Palicova;WTA
Paszun A.;Amelia Paszun;WTA
Penickova A.;Annika Penickova;WTA
Petruzelova L.;Lucie Petruzelova;WTA
Pliskova Ka.;Karolina Pliskova;WTA
Podlinska M.;Marcelina Podlinska;WTA
Sanchez Uribe M. J.;Maria Jose Sanchez Uribe;WTA
Senica A.;Alja Senica;WTA
Slavikova E.;Emma Slavikova;WTA
Tomase E.;Elza Tomase;WTA
Tsao C. Y.;Chia Yi Tsao;WTA
Uemura M.;Mutsumi Uemura;WTA
Vaissaud D.;Dune Vaissaud;WTA
Van Emst S.;Sarah Van Emst;WTA
Zelinskaya D.;Daria Zelinskaya;WTA
Šalková D.;Dominika Salkova;WTA
Šramková R.;Rebecca Sramkova;WTA
