TE_Name;TA_Name;Tour
Banerjee S.;Samir Banerjee;ATP
Kicker N.;Nicolas Kicker;ATP
Cui J.;Jie Cui;ATP
Vandecasteele Q.;Quinn Vandecasteele;ATP
Mayo A.;Aidan Mayo;ATP
Sultanov K.;Khumoun Sultanov;ATP
Alejandro Dellien Velasco M.;Murkel Alejandro Dellien Velasco;ATP
Dellien Velasco M.;Murkel Alejandro Dellien Velasco;ATP
Velasco M.;Murkel Alejandro Dellien Velasco;ATP
Bautista Torres J.;Juan Bautista Torres;ATP
Torres J.;Juan Bautista Torres;ATP
Paris T.;Tom Paris;ATP
Ribeiro E.;Eduardo Ribeiro;ATP
Santillan A.;Akira Santillan;ATP
Ratti L.;Lucio Ratti;ATP
Perez A.;Alfredo Perez;ATP
Bernet H.;Henry Bernet;ATP
Milic O.;Ognjen Milic;ATP
Zink T.;Tyler Zink;ATP
Adrian Boitan G.;Gabi Adrian Boitan;ATP
Boitan G.;Gabi Adrian Boitan;ATP
Palosi S.;Stefan Palosi;ATP
Del Pino C.;Conner Huertas Del Pino;ATP
Huertas Del Pino C.;Conner Huertas Del Pino;ATP
Pino C.;Conner Huertas Del Pino;ATP
Matsuoka H.;Hayato Matsuoka;ATP
Uchida K.;Kaichi Uchida;ATP
Jover C.;Carlos Sanchez Jover;ATP
Sanchez Jover C.;Carlos Sanchez Jover;ATP
Alkaya M.;Mert Alkaya;ATP
Faurel T.;Thomas Faurel;ATP
Vasa E.;Eero Vasa;ATP
Alvarez Varona N.;Nicolas Alvarez Varona;ATP
Varona N.;Nicolas Alvarez Varona;ATP
Moriya H.;Hiroki Moriya;ATP
Potenza L.;Luca Potenza;ATP
Boulais J.;Justin Boulais;ATP
Rybakov A.;Alex Rybakov;ATP
